School,Location,City,Country,Description
"BU: Sydney Internship ProgramSydney, Australia","Sydney, Australia",Sydney,Australia,"Overview:
The Sydney Internship Program combines coursework at the Boston University (BU) Sydney Center with professional work experience.  After completing the program's six-week core study phase, students spend the final eight weeks in internships with organizations in the greater Sydney area, working full time, four days per week, while also taking one elective course.
Minimum GPA:
3.00"
Budapest Semesters in Mathematics,"Budapest, Hungary",Budapest,Hungary,"Overview:
Hungary has a long tradition of excellence in mathematics education. However, because of the language barrier, students have not been able to take advantage of the skill and dedication of the mathematics faculties of Hungarian universities. Initiated by Paul Erdős, László Lovasz, and Vera T. Sós, the program Budapest Semesters in Mathematics (BSM) provides a unique opportunity for North American undergraduates. Through this program, mathematics and computer science majors in their junior/senior years may spend fall, spring or summer semester in Budapest and study under the tutelage of eminent Hungarian scholar-teachers. The instructors of BSM are members of Eötvös University, the Mathematical Institute of the Hungarian Academy of Sciences, and Budapest University of Technology and Economics, the three institutions known for having educated more than half of Hungary’s highly acclaimed mathematicians. BSM classes are held at the College International, a Hungarian-based educational institution focusing on international students studying in Budapest. Most instructors have had teaching experience in North America and are familiar with the cultural differences.
Minimum GPA:
3.00"
CASA Barcelona,"Barcelona, Spain",Barcelona,Spain,"Overview:
The CASA Barcelona program offers a full-immersion learning experience in one of the leading cities of the world. Students are immersed in the local university environment and take most of their courses at one or more of CASA's partner universities: the Universitat de Barcelona (UB), the Universitat Autònoma de Barcelona (UAB), the Universitat Politècnica de Catalunya (UPC), and the Universitat Pompeu Fabra (UPF). Comprehensive student services support the academic and social experience. 
Minimum GPA:
3.00"
CASA Cuba,"Havana, Cuba",Havana,Cuba,"Overview:
CASA-Cuba, the University of Havana, and Casa de Las Américas have worked together to develop a program of study that will challenge you to achieve a critical understanding of the key issues facing Cuba today and enable you to interact with some of the country’s leading academic experts in the social sciences, arts and the humanities. You will immerse yourself in Cuba, taking courses in Spanish from recognized experts on key issues facing the country and interacting with peers who share your intellectual curiosity about Cuba’s past, present and future. Your courses at the CASA Center and the university will be complemented throughout the semester with special seminars and guest lectures by respected experts from other key research centers. In addition, you can propose to undertake focused research projects where you will engage with recognized Cuban experts who can connect you with local archives, museums, and key cultural organizations.
Minimum GPA:
3.00"
CASA Dublin: Trinity College Dublin,"Dublin, Ireland",Dublin,Ireland,"Overview:
With a tradition of scholarship spanning four centuries, Trinity College Dublin boasts talented and inquiring minds from all over the world, a liberal education, and world-class research conducted at the frontiers of many disciplines. The CASA Trinity College Dublin academic program explores the theme of Ireland Old and New. The program begins with a one week orientation program, Understanding Ireland, which offers students the opportunity to meaningfully understand and interpret Ireland’s culture, literature and political history. CASA-Trinity students also have the optional opportunity to enroll in one graduate Masters-level class, subject to approval.  At present, there are a number of options available in a variety of disciplines
Minimum GPA:
3.30"
"CASA Granada, Intensive Spanish Language","Granada, Spain",Granada,Spain,"Overview:
The Cornell Global Program, CASA Granada offers an Intensive Spanish Language Studies (CILE) track that is exclusively language focused. This program is designed to immerse students fully in the Spanish language and is ideal for: Students who have had no prior Spanish language instruction; Students who are at beginner or low-intermediate levels of Spanish language acquisition; Students take Spanish language courses in modules, progressing each month to another level of Spanish. After one semester at the University of Granada's renowned Centro de Lenguas Modernas, students gain a significant command of the Spanish language. Located in the southeast of Andalusia, at the foot of Sierra Nevada, Granada is a stunning city with a wealth of opportunities to keep students engaged. The city is a contrast between old and new, offering both rich historic sites and contemporary amenities. The Alhambra overlooking the city is one of marvels of Spain for its beauty and history. The area surrounding Granada also offers opportunities for activities beyond the city, whether biking or hiking with friends in the nearby hills to skiing at one of Spain’s best resorts or enjoying the tropical climate and beautiful beaches of the nearby Mediterranean Sea."
"CASA Granada, Spanish Language and Culture","Granada, Spain",Granada,Spain,"Overview:
The ""Curso de Lengua y Cultura Espanola (CLCE)"" is designed to immerse students fully in the Spanish language. Advance your knowledge of Spanish language and culture through a special program designed for students at the intermediate level--all courses in Spanish. Start the fall semester with a 4-week intensive Spanish class, then continue the semester with a mix of language and culture classes all at the intermediate level in Spanish. Due to the nature of the Spring schedule, spring semester students go straight into five language and culture classes.  After one semester at the University of Granada's renowned Centro de Lenguas Modernas, students gain a significant command of the Spanish language."
CASA Santiago,"Vitacura, Chile",Vitacura,Chile,"Overview:
The CASA Santiago program is offered by the Consortium for Advanced Studies Abroad, which is comprised of 10 leading research universities in the US and abroad. CASA member institutions are Brown University, Columbia University, Cornell University, Dartmouth College, Harvard University, Johns Hopkins University, Northwestern University, Trinity College Dublin, The University of Pennsylvania, and Vanderbilt University. Cornell/CASA programs currently are offered in Argentina, Chile, Cuba, and Spain. Harvard University is the administering institution for the CASA Chile Program.
Minimum GPA:
3.00"
"CASA SevillaSeville, Spain","Seville, Spain",Seville,Spain,"Overview:
The CASA-Sevilla program makes it impossible to drift through your five months in Spain without fully experiencing Seville, with its rich history, its proud Andalusian people, its incredible food, and its quintessentially Spanish culture. Seville is an ideal place to explore Spain’s dynamic present and fascinating past.  In Seville, students grapple with the combination of cultures, aesthetic and religious traditions that are sometimes integrated and sometimes superimposed on one another. As such, the city provides a vantage point for the study of contemporary Spain where the complex amalgam of Spanish history can be seen in it architecture and art, in struggles for power, in the socio-centrism of families, neighborhoods, cities, and regions, and in moments of confrontation between different parts of Spain, between Spain and its former colonies, and between Spain and the rest of Europe. Students returning from Seville report the highest satisfaction of all of the Spanish-speaking programs due to the level of integration they experience. For returned student contact information, reach out to abroad@cornell.edu.
Minimum GPA:
3.00"
Central Saint Martins (UAL): Integrated Program,"London, United Kingdom",London,United Kingdom,"Overview:
Central Saint Martins' alumni include artists and designers who have challenged and shaped the world around us. CSM offers both an Integrated Study Abroad program, where you will study alongside Central Saint Martins degree students and follow one of their academic tracks (portfolio review may be required to determine an applicant's academic level), as well as the Semester Study Abroad program, which is a 14-week semester program specifically for fashion and graphic design students in the fall or spring. Students who choose the integrated program must choose one of CSM's undergraduate programs as their ""home"" subject area for the duration of the semester.  All courses will be taken within that subject area.  During the spring semester, students will be enrolled in two teaching terms at CSM (terms 2 + 3) and it is required that you remain enrolled in both terms to receive full credit from Cornell.  If you wish to attend the integrated program in the fall, you must enroll in one of CSM's pre-term Optional Modules in early-September as a supplement to your regular Term 1 studies in order to meet the full-time credit requirement for Cornell.
Minimum GPA:
3.00"
"CET: Beijing, Intensive LanguageBeijing, China","Beijing, China",Beijing,China,"Overview:
Rapidly improve your language skills while developing a solid understanding of contemporary Chinese society with CET's Intensive Language Program. Don’t miss Beijing. This city is where the action is and where networks thrive. Gaze up at a high-rise that seemed to be built overnight. See what local artists are up to at the 798 Art District. Follow a local rock band. Interview with a journalist. Stroll past one of China’s most famous universities and strike up a conversation with someone you meet at the front gate. The best part of getting to know Beijing is that unlike other Chinese cities, the Chinese and expat communities are intertwined—you’ll be practicing the language and interacting with the culture whatever you do and wherever you go.
Minimum GPA:
3.00"
CET: Florence,"Florence, Italy",Florence,Italy,"Overview:
This program has a fixed number in Spring 2025 and an early deadline of August 1st. If space is met prior to the application deadline, the application will be closed, and students will be directed to alternative Cornell approved programs. CET Florence is for academically-minded students who want it all from their time abroad. You'll take Italian language and electives in a wide variety of fields. Check something off for your major or try something new that could only be studied in Italy!
Minimum GPA:
3.00"
CET: Jordan,"Amman, Jordan",Amman,Jordan,"Overview:
The CET program comes closest to Cornell's commitment to teaching Arabic the way it is spoken and used, based on the Jordanian dialect.  In addition to teaching Modern Standard Arabic which is used for formal communication only, CET's dialect classes, local roommate, and a your choice of a full or limited language pledge mean that you will truly learn or advance your knowledge of Arabic while in Jordan.
Minimum GPA:
3.00"
CET: Prague,"Prague, Czechia",Prague,Czechia,"Overview:
Take hands-on courses and workshops at one of the world's finest film academies, FAMU, the Film and Television School of the Academy of Performing Arts in Prague. Produce and direct your own stories on 16mm or 35mm film. Take hands-on courses and workshops at one of the world's finest film academies, FAMU, the Film and Television School of the Academy of Performing Arts in Prague. You'll participate in all aspects of filmmaking: directing, cinematography, screenwriting and editing. The program is open to challenge-seeking students who are excited to collaborate with peers and mentors. 
Minimum GPA:
3.00"
"CET: Prague, Film Production","Prague, Czechia",Prague,Czechia,"Overview:
Take hands-on courses and workshops at one of the world's finest film academies, FAMU, the Film and Television School of the Academy of Performing Arts in Prague. Produce and direct your own stories on 16mm or 35mm film. Take hands-on courses and workshops at one of the world's finest film academies, FAMU, the Film and Television School of the Academy of Performing Arts in Prague. You'll participate in all aspects of filmmaking: directing, cinematography, screenwriting and editing. The program is open to challenge-seeking students who are excited to collaborate with peers and mentors.
Minimum GPA:
3.00"
"CET: Shanghai, Chinese Studies & Internship","Shanghai, China",Shanghai,China,"Overview:
This program is your chance to build a foundation for a career involving China, whether you work in the US or return to China after graduation. CET is the premier study abroad organization in China known for its language teaching and local connections with roots that go back over 30 years.  CET students benefit from their strong network of alumni, colleagues, and friends. Shanghai’s energy and entrepreneurial spirit make it the perfect place to expand your horizons. Meet professionals. Make friends with your internship colleagues. Hop on a high speed train—you can be almost anywhere in the country in half a day. Then, use your skills and connections (and the CET China Alumni Job Board) to make your way back to Shanghai after graduation.
Minimum GPA:
3.00"
"Chulalongkorn University (Chula), Thailand","Bangkok, Thailand",Bangkok,Thailand,"Overview:
Take courses in English alongside Thai and international students at Chulalongkorn (Chula), Thailand's leading university and a Cornell Global Hub partner university. Bangkok has emerged as a leading city for finance, business, and pop culture in Asia. With beautiful cultural landmarks and internationally renowned street life, Bangkok has been ranked as one of the world's most visited cities. An international hub for health care and transportation, Bangkok hosts the regional headquarters of many multinational corporations. It also is known as a hub for arts, entertainment, and fashion. The seat of power and protest, wealth and poverty, tradition and development, congestion and beauty, the city contains many cautionary tales and signs of hope.
Minimum GPA:
3.00"
"CIEE: Amsterdam, Social Sciences and Humanities","Amsterdam, Netherlands",Amsterdam,Netherlands,"Overview:
Bring your interest in Dutch language, society, politics, and culture to this progressive, multicultural city for coursework across social science and humanities in English at CIEE Amsterdam. Select from Dutch language learning at the Dutch Language Institute (INTT) and courses across disciplines at the University van Amsterdam including anthropology, European studies, film studies, history, international relations, media, psychology, sociology, urban studies, and more. If you find yourself wondering why it’s so easy to feel at home in Amsterdam, chalk it up to “gezellig.” Roughly translated, that’s Dutch for cozy or home-like – a sensibility commonly associated with this city. Compact and easy to navigate by bike or on foot, Amsterdam houses more than 6,000 buildings from the 16th century forward that are protected for historic importance. It’s loaded with charm and treasures, from the gabled houses that stand shoulder to shoulder along the canals, to glorious masterpieces by Van Gogh, Rembrandt, Matisse, and more.
Minimum GPA:
3.00"
"CIEE: Barcelona, Language and Culture","Barcelona, Spain",Barcelona,Spain,"Overview:
The Catalan capital of Barcelona overflows with opportunities to practice – or begin – your quest for stronger Spanish language skills. Beyond the classroom, you’ll get to know a city steeped in history and culture, with guided tours to storied museums and towering cathedrals, language exchange sessions with Spanish peers, homestays, and activities. And with overnight and day trips, you’ll get a taste of the country beyond. Whether you're a beginner throwing yourself into language study for the first time, or an intermediate student taking your proficiency to the next level, there's no better way to immerse yourself in the Spanish language and culture than CIEE's Language and Culture program in Barcelona. You'll get to practice your Spanish skills in and around this cosmopolitan city during your intensive courses, homestays, language exchanges, cultural activities, and exciting excursions.
Minimum GPA:
3.00"
"CIEE: Paris, Open Campus","Paris, France",Paris,France,"Overview:
Europe’s cultural epicenter never fails to charm with its myriad of art, culture, fashion, gastronomy, and world-famous monuments always within reach. Even a simple stroll along the Seine offers a magical taste of the City of Lights. Study abroad in Paris and you’ll achieve substantial, measurable improvement in French language skills and as well as a clear understanding of the political, social, and cultural complexity that characterizes contemporary France. Select courses from six academic tracks: Business; Communications, Journalism & New Media; Global & Community Health; International Relations & Political Science; Language, Literature & Culture; or Sustainability and Environmental Sciences. Take two classes at a time for six weeks over three blocks. **Cornell students must stay in Paris for the three 6-week blocks for full semester credit.**
Minimum GPA:
2.75"
CIEE: Semester in Madrid,"Madrid, Spain",Madrid,Spain,"Overview:
The Semester in Madrid program offers a unique mix of flexible and diverse courses (in English or Spanish) at CIEE Madrid and one of CIEE's renowned partner institutions: The Fundación Ortega y Gasset y Gregorio Marañón (FOM) or the Universidad Antonio Nebrija (UAN). Madrid is not only the political and cultural center of the country, but also an important player in global economics. With three world-class art museums, more than three million residents, and multiple UNESCO World Heritage Sites near the city, Madrid offers exciting learning opportunities for students studying abroad. Despite its present-day status, much of Madrid’s historic past remains beautifully preserved in its landmarks, museums, and architecture. When you study abroad in Madrid, you can expect to see centuries of history, a lively sports scene, and a large variety of tapas bars throughout this capital city.
Minimum GPA:
3.00"
CIEE: University of Cape Town,"Cape Town, South Africa",Cape Town,South Africa ,"Overview:
Be an active participant in the hope-triumphs-over-oppression culture of Cape Town. Become involved in many ways while taking classes at UCT. Established as South African College in 1829, UCT is internationally recognized as Africa’s leading research university, with beautiful grounds and attractive buildings. The UCT campus includes a range of commercial, medical, recreational, and sporting facilities. Students participate in cultural components, and are strongly encouraged to participate in community service. Previous college-level coursework in African Studies strongly recommended.
Minimum GPA:
3.00"
City University Hong Kong (CityU),"Hong Kong, Hong Kong",Hong Kong,,"Overview:
Established in 1994, CityU has performed strongly in international rankings. According to Quacquarelli Symonds (QS), CityU is ranked 48th in the world in 2021 and 4th among the world's top 50 universities under 50 years of age in 2020. CityU is a young and dynamic university that emphasizes innovative problem-driven research and the connection between knowledge and society. The goal is to train a new breed of professionals to anticipate and respond to the challenges of the fast-changing, knowledge-driven global environment of the 21st century. At the undergraduate level, City U comprises the College of Business, College of Engineering, College of Liberal Arts and Social Sciences, College of Science, Jockey Club College of Veterinary Medicine and Life Sciences, and the School of Creative Media, School of Data Science, School of Energy and Environment, and School of Law. CityU has more than 60 student associations and societies under the umbrella of the Students' Union (SU), therefore, it's easy to get involved on campus and meet people with similar interests. All students in full-time undergraduate programmes are full members of the SU. Exchange and other students are welcome to apply to the SU for associate membership.
Minimum GPA:
3.00"
College Year in Athens - Semester and Academic Year Program,"Athens, Greece",Athens,Greece,"Overview:
CYA (College Year in Athens) is a non-profit educational institution that has been acting as a cultural and educational bridge between the U.S. and Greece for over half a century. Established in 1962, CYA was the first study abroad program in Greece for English-speaking undergraduates. They offer academically outstanding study abroad programs that embrace the vibrant experience of day-to-day contact with the people, institutions, monuments, and landscapes of Greece and the Mediterranean. All programs are delivered in English at the Athens-based International Center for Hellenic and Mediterranean Studies (DIKEMES), located next to the Kallimarmaro (Marble) Stadium and the National Gardens in the heart of the city. CYA boasts an extensive range of academically outstanding courses and unique learning opportunities. Spanning a wide range of disciplines from ancient to contemporary studies, the curriculum is enriched by hands-on learning opportunities and on-site classes.
Minimum GPA:
3.00"
Comillas-ICAI - Engineering Exchange,"Madrid, Spain",Madrid,Spain,"Overview:
Study in Madrid on a unique program created for sophomores in Engineering. Stay on track to graduate with core engineering courses in English. Study alongside students from top U.S. engineering schools on Comillas' ""SAPIENS"" program. Make Comillas' ICAI Engineering School your home base, known for mechanical, electrical, industrial, and telecommunications engineering. Complement your technical studies with a language and culture class at any level of Spanish. Study in Spain's largest, and one of its liveliest, cities.  Madrid is a hub for politics, education, and science, with world-renowned museums, sports teams, markets, and parks.  Discover its many neighborhoods and moods.
Minimum GPA:
3.00
"
Copenhagen Business School,"Copenhagen, Denmark",Copenhagen,Denmark,"Overview:
*Note: Non-Dyson majors should meet with the program advisor before submitting an application to ensure suitability.* 
Copenhagen Business School (CBS) is the largest business school in Northern Europe with 22,000 full- and part-time students. CBS teaches the traditional courses in Economics, Management, and Business Administration but is also well known for their cross-disciplinary research and teaching. Students can combine business studies with philosophy, political science, psychology, commercial law, or communication.  CBS is ranked as one of the world's top universities for business and management.  Each year, CBS welcomes 1,200 exchange students and strives to give their international students a well-rounded, supportive environment in which to thrive and to learn. 
Minimum GPA:
3.0"
Cornell Prelaw Summer Program in Paris,"Paris, France",Paris,France,"Overview:
The Cornell Prelaw Program in Paris is a three-week academic program in international and comparative law. The program is co-sponsored by Cornell Law School and the Université Paris I Panthéon-Sorbonne. Our program is taught in a uniquely international and culturally rich environment, combining the excellence of Cornell Law School faculty and international guest lectures. Students attend classes at the historic Faculté de droit building, and occasionally in the Sorbonne building itself, at the heart of the Paris 1 Panthéon-Sorbonne University, near the beautiful Jardin du Luxembourg, and in the vibrant “Quartier Latin,” the Paris home of university students for almost a thousand years. The program sponsors private guided tours to the Palais de Justice (the site of France’s highest court in the ordinary court system), the Conseil d’État (the “supreme court” in the French administrative court system), the French National Assembly, the French Senate, and the International Chamber of Commerce’s International Court of Arbitration in Paris."
"Cornell Spring Break Program in Ecuador - Culture, Communities, and Development","Quito, Ecuador",Quito,Ecuador,"Overview:
Developed in partnership with Universidad San Francisco de Quito, this 3-credit collaborative online international learning (COIL) and community-based global learning (CBGL) course invites Cornell students to explore the complexities of culture and community and their impact on the practice of development, with students and faculty from Universidad San Francisco de Quito, and community partners in Upstate New York and Quito, Ecuador. Together, we will apply theories of cultural change, intercultural communication, and community empowerment to the geographic contexts of Upstate New York and Quito, Ecuador. The course will meet once per week for 75 minutes throughout the full Spring 2024 semester (Mondays, 11:40am - 12:55pm). During our in-class meetings, we will engage in close readings of theoretical texts, discussion of contemporary research on community development in both the US and Ecuadorian contexts, guest lectures from relevant community partners in both locations, and collaborative projects with USFQ student partners."
Cornell Spring Break Program in London - Global Health and Environmental Justice,"London, United Kingdom",London,United Kingdom,"Overview:
In collaboration with Global Hub partner, King’s College London (KCL), this program examines London as a global financial capital, a center of health research and policy, and a site where the consequences of climate change, including extreme heat events, are distributed in radically uneven ways. This program will bring students to sites across the city where medical practitioners and community groups are working to understand and confront environmental thermal inequality, from reproductive inequalities to mental health to chronic disease. It builds on a critical approach to global health, born out of the cross-currents of medical anthropology, science and technology studies, public health, global governance, and social epidemiology. A critical approach to global health asks how structures of power and inequality, from colonialism to racial capitalism, both limit the reach of biomedical technologies around the world and enable certain kinds of solutions to health problems to become favored. While global health is often construed as happening in the Global South (Africa, Latin America, South and Southeast Asia), students are challenged to understand the urgency of problems of planetary change and uneven development in a city that is often portrayed as a nerve center of colonial and financial power. In a moment where climate change is making the limits of global health even more apparent, this program presents an opportunity for students and a collaborative faculty team to reimagine global health’s relationship to environmental justice. 
"
Cornell Summer Program in Madrid,"Madrid, Spain",Madrid,Spain,"Overview:
During this intensive six-week program (May 26 - July 5), you'll immerse yourself in Spanish culture, significantly improve your language skills, and earn credits while living in Spain’s capital city. Along with a focus on improving their Spanish speaking and writing skills, many students take a course on Spanish culture and history that offers a broad introduction to Iberian cultures from the Middle Ages to the present. On their forays outside of the classroom, students discovered the residents of Madrid were kind and understanding as they practiced their language skills, visit museums and venues of historical importance, attend concerts and theater productions, and experience life in a European nation. Classes are held at the Instituto Internacional Americano, which hosts students from U.S. universities and offers English courses to a mix of American and Spanish students. Students will live with a host family selected by the program.
Minimum GPA:
3.20"
Cornell Summer Program in Turin - Public Policy,"Turin, Italy",Turin,Italy,"Overview:
Nestled between the Alps and the Mediterranean in the magnificent Piedmont region of northern Italy, the city of Turin provides an inspiring background to explore the causes and consequences of population change, the debates unfolding in Europe around these issues, and the policies intended to address them. 
"
Cornell Winter Program in Cambodia - Labor Development and SocietyKrong Siem Reap and Phnom ,"Penh, Cambodia",Penh,Cambodia,"Overview:
In collaboration with the Center for Khmer Studies (CKS), Cornell's Southeast Asia (SEAP, Einaudi) Study Abroad program in Cambodia will provide an in-depth focus on on how the dynamic changes in Phnom Penh and Siem Reap connect to their history, policies, and labor politics. Home to Angkor Wat—one of the Seven Wonders of the World—and the vibrant city of Phnom Penh, Cambodia has prospered significantly over the last two decades, thanks to tourism and manufacturing. Yet, the country still faces challenges such as rural poverty and deficits in healthcare, education, and infrastructure. This course is designed to provide students with an introduction to Cambodian development through examination of Cambodia’s history, culture, politics, education system, labor and society and their evolving relationships in shaping the past, current and future development of the country. The course involves a mix of lectures, including by Cambodian experts, and field visits. Based primarily out of Siem Reap, Cambodia, CKS has a long-standing partnership with Cornell to help us arrange in-country logistics as well as other relevant excursions while in Cambodia including the capital, Phnom Penh."
Cornell Winter Program in Ecuador - Politics of Sustainable Development,"Quito, Ecuador",Quito,Ecuador,"Overview:
Developed with the support of Cornell's David M. Einhorn Center for Community Engagement, Politics of Sustainable Development in Latin America is a multi-term, four-credit course that will bring students onsite in Ecuador during the January term. Students will travel to Quito, Ecuador to begin their field study at Cornell's Global Hub partner institution, the Universidad San Francisco de Quito (USFQ). Following their in-country orientation, students will then relocate to the indigenous community of Sacha Waysa in the Amazon region of Ecuador to work with local partners and the Yakum Foundation on projects related to biodiversity, agroforestry, reforestation, food sovereignty, and community planning. Having met with partners from the Yakum Foundation virtually and learned about the challenges of sustainable development in the Amazon region during the fall course module, students will connect in-person in Ecuador to bring their projects to life on the ground.
"
Cornell Winter Program in Mexico - Experiential Writing,"Oaxaca, Mexico",Oaxaca,Mexico,"Overview:
Oaxaca is one of the most exciting cities in Mexico. Located in a valley surrounded by three mountain ranges, Oaxaca is beloved for its legendary culinary scene, indigenous artistic traditions, and environmental and cultural richness. During this 10-day program, we will intertwine the exploration of Oaxaca and the breathtaking natural areas and archeological sites around it, with assignments and instruction to elevate your writing. Students will research and write about complex or controversial cultural, social, or environmental issues that interest them. This will increase their comprehension and appreciation of the relationship between the environment, people, and culture in one of the most interesting parts of Mexico. Among the expected field trips, expect a moderate level of physical activity. We will visit Monte Alban, a pre-Colombian archeological site of sacred topography carved out of a mountain that was inhabited for more than 13 centuries. We will hike in a cloud forest and learn about medicinal plants. We will witness a demonstration by Zapotec artists creating world-renowned, vibrant textiles with natural dyes, a tradition passed down through generations. We will visit a Sunday “Mercado”, an enormous open-air market that attracts merchants and artists from all over the region. Enjoying culinary delights will be a daily occurrence."
Cornell Winter Program in Zambia – History and Politics of Southern Africa,"Lusaka, Zambia",Lusaka,Zambia,"Overview:
The History and Politics of Southern Africa is to be held at the University of Zambia, Cornell’s new Global Hub partner in Lusaka, the capital of Zambia. The class will introduce students to the history and politics of Zambia and more broadly southern Africa. The class examines the history of European settlement in southern Africa, the liberation wars and the independence process, Apartheid and post-Apartheid democracy in South Africa, as well as the turn to electoral democracy in Zambia, Botswana and Malawi. It then turns to an analysis of the politics, economies, and societies of contemporary southern Africa."
